size_class,Invasion_Status,Habitat,Season,N,Length,Wet_Weight,Amphipoda,Araneae,Argulus,Belo.Naucor,Centrarchid,Chironomid,Cladocera,Coleoptera,Collembola,Copepoda,Cyprinodontid,Detritus,Diptera,Ephemeroptera,Green.Algae,Hemiptera,Hydrachnidia,Hymenoptera,Misc,Misc.Fish,Misc.Invert,Mollusca,Odonata,Oligochaeta,Ostracoda,Palaemonetes,Periphyton,Procambarus,Trichoptera,Vasc.Plant
H.for1,Pre-Invasion,Pond,Dry,5,11.44± 0.37,0.03± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.18,0± 0,0.14± 0.05,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.75± 0.22,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
H.for1,Post-Invasion,Pond,Wet,9,10.77± 0.78,0.03± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.17± 0.35,0.19± 0.3,0± 0,0± 0,0.04± 0.11,0± 0,0.24± 0.21,0± 0,0± 0,0.04± 0.11,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.15± 0.34,0± 0,0.18± 0.19,0± 0,0± 0,0± 0
H.for1,Pre-Invasion,Pond,Wet,8,9.75± 1.49,0.01± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.02,0.13± 0.07,0± 0,0± 0,0.09± 0.07,0± 0,0.04± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.71± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.05,0± 0,0± 0,0± 0
H.for2,Post-Invasion,Marsh,Dry,5,13.63± 0.5,0.05± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.43± 0.4,0± 0,0± 0,0± 0,0± 0,0.21± 0.08,0± 0,0± 0,0± 0,0± 0,0.04± 0.09,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0.04± 0.09,0± 0,0.03± 0.06,0± 0
H.for2,Pre-Invasion,Marsh,Dry,23,14.79± 1.48,0.07± 0.02,0.03± 0.08,0± 0,0± 0,0± 0,0± 0,0.09± 0.14,0.39± 0.27,0± 0,0± 0,0.03± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.13± 0.19,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0.02,0± 0,0.32± 0.28,0± 0,0± 0,0± 0
H.for2,Post-Invasion,Marsh,Wet,5,13.03± 1.04,0.04± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.41± 0.42,0.15± 0.21,0± 0,0± 0,0± 0,0± 0,0.17± 0.24,0± 0,0± 0,0± 0,0± 0,0.17± 0.24,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.1± 0.22,0± 0,0± 0,0± 0
H.for2,Pre-Invasion,Marsh,Wet,25,14.94± 1.72,0.06± 0.02,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0.23± 0.25,0.34± 0.17,0± 0,0± 0,0.16± 0.15,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.16± 0.25,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.03,0± 0,0.07± 0.09,0± 0,0.01± 0.04,0± 0
H.for2,Post-Invasion,Pond,Dry,5,13.48± 1.94,0.06± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.7± 0.27,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.1± 0.22,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.2± 0.27,0± 0,0± 0,0± 0
H.for2,Pre-Invasion,Pond,Dry,9,14.36± 2.01,0.06± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.06,0± 0,0± 0,0± 0,0.12± 0.26,0± 0,0.54± 0.44,0± 0,0± 0,0± 0,0± 0,0.01± 0.03,0± 0,0.29± 0.37,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.06,0± 0,0± 0,0± 0,0± 0,0± 0
H.for2,Post-Invasion,Pond,Wet,3,12.55± 0.32,0.04± 0.01,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.22± 0.38,0± 0,0± 0,0± 0,0± 0,0.36± 0.13,0± 0,0± 0,0± 0,0± 0,0.17± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.25,0± 0,0± 0,0± 0
H.for2,Pre-Invasion,Pond,Wet,6,14.33± 1.47,0.06± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.05,0.42± 0.19,0± 0,0± 0,0.22± 0.13,0± 0,0.08± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.22± 0.26,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.05,0± 0,0± 0,0± 0
H.let1,Post-Invasion,Marsh,Dry,33,58.29± 5.39,6.84± 1.82,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.06,0± 0,0.01± 0.06,0± 0,0.01± 0.04,0± 0,0.21± 0.21,0.02± 0.12,0± 0,0.07± 0.12,0± 0,0.06± 0.19,0± 0,0± 0,0.1± 0.21,0.23± 0.32,0.13± 0.23,0.05± 0.12,0± 0,0± 0,0.05± 0.13,0± 0,0± 0,0.05± 0.13,0± 0
H.let1,Post-Invasion,Marsh,Wet,24,53.59± 6.27,5.54± 1.84,0.02± 0.08,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.04,0± 0,0.02± 0.08,0.01± 0.03,0.14± 0.23,0± 0.02,0± 0,0.01± 0.05,0.04± 0.11,0.11± 0.21,0± 0,0± 0,0.04± 0.09,0.06± 0.14,0.46± 0.32,0.05± 0.08,0± 0,0± 0,0.03± 0.1,0± 0,0± 0,0.01± 0.03,0± 0
H.let1,Post-Invasion,Pond,Wet,14,53.5± 5.71,5.36± 1.49,0.01± 0.02,0± 0,0± 0,0.02± 0.08,0± 0,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0.15± 0.26,0± 0,0± 0,0± 0,0.02± 0.08,0± 0.02,0± 0,0± 0,0± 0,0.07± 0.12,0.65± 0.28,0.07± 0.18,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.03,0± 0
H.lit1,Post-Invasion,Marsh,Dry,3,96.59± 6.77,37.1± 7.72,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.03,0.02± 0.03,0± 0,0± 0,0± 0,0± 0,0.13± 0.17,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.19,0± 0,0.72± 0.34,0± 0,0± 0,0± 0,0± 0,0± 0
H.lit1,Post-Invasion,Pond,Dry,8,135.89± 24.21,91.63± 41.37,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.88± 0.23,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.18,0± 0,0.06± 0.18,0± 0,0± 0,0± 0
J.flo1,Pre-Invasion,Marsh,Dry,5,17.02± 1.14,0.17± 0.05,0.1± 0.22,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.37± 0.36,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.53± 0.3,0± 0,0± 0,0± 0
J.flo1,Post-Invasion,Marsh,Wet,3,16.47± 0.66,0.15± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.33± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.67± 0.29,0± 0,0± 0,0± 0
J.flo1,Pre-Invasion,Marsh,Wet,25,16.34± 1.52,0.12± 0.03,0± 0.02,0± 0,0± 0,0± 0,0± 0,0.12± 0.22,0.44± 0.29,0± 0,0± 0.02,0.07± 0.14,0± 0,0.16± 0.14,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.13± 0.21,0± 0,0.05± 0.13,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
J.flo1,Post-Invasion,Pond,Dry,1,15.93± NA,0.14± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.6± NA,0± NA,0± NA,0± NA,0± NA,0.2± NA,0± NA,0± NA,0.2± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
J.flo1,Post-Invasion,Pond,Wet,2,15.16± 2.81,0.12± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.17± 0.24,0± 0,0± 0,0.42± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.42± 0.12,0± 0,0± 0,0± 0
J.flo1,Pre-Invasion,Pond,Wet,3,15.17± 3.18,0.12± 0.06,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.68± 0.15,0± 0,0± 0,0.17± 0.09,0± 0,0.12± 0.12,0± 0,0± 0,0.03± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
J.flo2,Post-Invasion,Marsh,Dry,1,30.03± NA,1.39± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA
J.flo2,Pre-Invasion,Marsh,Dry,26,23.35± 3.1,0.44± 0.19,0.02± 0.08,0± 0,0± 0,0± 0,0± 0,0± 0,0.13± 0.19,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.21,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.63± 0.29,0± 0,0± 0,0.1± 0.19
J.flo2,Post-Invasion,Marsh,Wet,1,28.25± NA,0.74± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA
J.flo2,Pre-Invasion,Marsh,Wet,25,23.66± 4.2,0.5± 0.4,0± 0.02,0± 0,0± 0,0± 0,0± 0,0.17± 0.23,0.4± 0.25,0± 0,0± 0,0.04± 0.08,0± 0,0.09± 0.14,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.24± 0.16,0± 0,0± 0,0± 0
J.flo2,Post-Invasion,Pond,Dry,3,23.63± 1.78,0.53± 0.05,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.22± 0.38,0± 0,0± 0,0± 0,0± 0,0.22± 0.25,0± 0,0± 0,0.33± 0.17,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.19,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.19,0± 0,0± 0,0± 0
J.flo2,Post-Invasion,Pond,Wet,1,32.89± NA,1.2± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA
J.flo2,Pre-Invasion,Pond,Wet,14,26.18± 3.64,0.71± 0.3,0± 0.01,0± 0,0± 0,0± 0,0± 0,0.02± 0.05,0.52± 0.3,0± 0,0± 0,0.15± 0.22,0± 0,0.13± 0.13,0± 0,0± 0,0.13± 0.13,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0.01± 0.04,0± 0,0.02± 0.07,0± 0,0± 0.02,0± 0
L.goo1,Post-Invasion,Marsh,Dry,18,14.72± 1.66,0.06± 0.02,0.02± 0.06,0± 0,0± 0,0± 0,0± 0,0.41± 0.33,0.31± 0.31,0± 0,0± 0,0.06± 0.11,0± 0,0.07± 0.07,0± 0.01,0± 0,0± 0,0.01± 0.04,0.04± 0.08,0± 0,0± 0,0± 0,0± 0.01,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0.06± 0.07,0± 0,0± 0,0± 0
L.goo1,Pre-Invasion,Marsh,Dry,41,15.49± 1.3,0.06± 0.02,0.04± 0.06,0± 0,0± 0,0± 0,0± 0,0.28± 0.15,0.35± 0.16,0± 0.02,0± 0,0.13± 0.11,0± 0.01,0± 0.01,0.03± 0.06,0.01± 0.02,0± 0,0.02± 0.04,0.01± 0.02,0± 0,0.04± 0.08,0± 0,0.02± 0.04,0.01± 0.03,0± 0,0± 0,0.01± 0.02,0± 0.01,0.04± 0.04,0± 0,0.01± 0.03,0± 0
L.goo1,Post-Invasion,Marsh,Wet,16,14.57± 2.29,0.06± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.16± 0.22,0.36± 0.33,0± 0,0± 0,0.03± 0.09,0± 0,0.09± 0.16,0± 0,0± 0,0± 0,0± 0,0.06± 0.11,0± 0,0± 0,0± 0,0± 0,0.12± 0.27,0± 0,0± 0,0.03± 0.08,0± 0,0.16± 0.19,0± 0,0± 0,0± 0
L.goo1,Pre-Invasion,Marsh,Wet,51,14.5± 1.69,0.05± 0.02,0.04± 0.06,0± 0,0± 0,0± 0,0± 0,0.21± 0.17,0.41± 0.19,0± 0,0± 0,0.12± 0.14,0± 0,0± 0,0.04± 0.08,0± 0.01,0± 0.01,0.01± 0.03,0.01± 0.02,0± 0,0.07± 0.1,0± 0,0.02± 0.05,0.02± 0.04,0± 0,0± 0,0.02± 0.06,0± 0,0.02± 0.05,0± 0,0± 0,0± 0.01
L.goo1,Post-Invasion,Pond,Dry,22,15.68± 1.25,0.07± 0.02,0.05± 0.17,0± 0,0± 0,0± 0.02,0± 0,0.18± 0.29,0.24± 0.31,0± 0,0± 0,0.01± 0.03,0± 0,0.25± 0.25,0± 0,0± 0,0± 0,0.01± 0.02,0.04± 0.13,0± 0,0± 0,0± 0,0.01± 0.03,0± 0,0± 0,0± 0,0.11± 0.26,0± 0,0.1± 0.18,0± 0,0± 0,0± 0
L.goo1,Post-Invasion,Pond,Wet,20,12.99± 2.09,0.05± 0.03,0.02± 0.07,0± 0,0± 0,0± 0,0± 0,0.12± 0.17,0.46± 0.32,0± 0,0± 0,0.1± 0.24,0± 0,0.11± 0.15,0± 0,0± 0,0± 0,0.01± 0.03,0.03± 0.05,0± 0,0± 0,0± 0,0± 0,0.04± 0.08,0± 0,0± 0,0± 0,0± 0,0.1± 0.15,0± 0,0.02± 0.07,0± 0
L.goo1,Pre-Invasion,Pond,Wet,26,13.54± 2.42,0.03± 0.02,0.05± 0.12,0± 0,0± 0,0± 0,0± 0,0.09± 0.21,0.53± 0.34,0± 0,0± 0,0.3± 0.38,0± 0,0± 0,0± 0,0± 0,0± 0.01,0± 0,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0.02,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0.01,0± 0
L.goo2,Post-Invasion,Marsh,Dry,25,20.8± 2.07,0.19± 0.05,0.02± 0.07,0± 0,0± 0,0± 0,0± 0,0.57± 0.31,0.13± 0.13,0± 0,0± 0.01,0.02± 0.04,0± 0,0.03± 0.06,0± 0.01,0± 0,0± 0,0.06± 0.2,0.05± 0.11,0± 0,0± 0,0± 0,0.01± 0.04,0.03± 0.08,0.01± 0.03,0± 0,0± 0.01,0± 0,0.05± 0.09,0± 0,0± 0.02,0± 0
L.goo2,Pre-Invasion,Marsh,Dry,38,21.32± 2.03,0.17± 0.05,0.06± 0.1,0± 0,0± 0,0± 0,0± 0,0.44± 0.23,0.21± 0.13,0± 0.02,0± 0,0.08± 0.08,0± 0,0± 0.01,0.06± 0.09,0.02± 0.04,0± 0,0± 0.02,0.01± 0.03,0± 0,0.02± 0.03,0± 0,0.02± 0.04,0.03± 0.05,0± 0.01,0± 0,0.01± 0.05,0± 0,0.02± 0.04,0± 0,0± 0,0± 0
L.goo2,Post-Invasion,Marsh,Wet,16,20.39± 2.68,0.22± 0.21,0.03± 0.09,0± 0,0± 0,0± 0,0± 0,0.15± 0.16,0.28± 0.23,0± 0,0.01± 0.04,0± 0,0± 0,0.06± 0.09,0± 0,0± 0,0± 0,0.02± 0.05,0.12± 0.14,0± 0,0± 0,0± 0,0.02± 0.06,0.24± 0.19,0± 0,0± 0,0.01± 0.04,0± 0,0.05± 0.08,0± 0,0± 0,0± 0
L.goo2,Pre-Invasion,Marsh,Wet,35,23.16± 3.38,0.21± 0.1,0.05± 0.07,0± 0,0± 0,0± 0.03,0± 0,0.64± 0.22,0.18± 0.15,0± 0.01,0± 0,0.05± 0.06,0± 0,0± 0.01,0.03± 0.04,0± 0,0± 0,0± 0.01,0± 0.02,0± 0,0± 0,0± 0,0± 0.01,0.02± 0.03,0± 0,0± 0.01,0.01± 0.02,0± 0,0± 0.01,0± 0,0± 0,0± 0
L.goo2,Post-Invasion,Pond,Dry,23,21.17± 2.97,0.18± 0.09,0± 0,0± 0,0± 0,0± 0,0± 0,0.26± 0.31,0.23± 0.28,0.02± 0.1,0± 0,0.03± 0.08,0± 0,0.14± 0.24,0± 0,0± 0,0.01± 0.05,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0.05± 0.11,0± 0,0± 0.01,0± 0,0.23± 0.34,0± 0,0.01± 0.03,0± 0,0.01± 0.03,0± 0
L.goo2,Post-Invasion,Pond,Wet,19,22.79± 2.6,0.22± 0.08,0.03± 0.11,0± 0,0± 0,0± 0,0± 0,0.34± 0.3,0.24± 0.31,0± 0,0± 0,0.03± 0.07,0± 0,0.04± 0.08,0± 0,0± 0,0± 0,0.08± 0.23,0.02± 0.08,0± 0,0.02± 0.08,0± 0,0± 0,0.05± 0.11,0± 0,0± 0,0.04± 0.15,0± 0,0.05± 0.09,0± 0,0.07± 0.23,0± 0
L.goo2,Pre-Invasion,Pond,Wet,17,23.44± 3.88,0.2± 0.12,0.07± 0.09,0± 0,0± 0,0± 0,0± 0,0.05± 0.08,0.2± 0.17,0± 0,0± 0,0.62± 0.26,0± 0,0.01± 0.02,0± 0.01,0± 0,0.02± 0.03,0± 0,0± 0,0± 0,0.01± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.03,0± 0,0.02± 0.06,0± 0
L.gul1,Pre-Invasion,Marsh,Dry,1,65± NA,9.26± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.67± NA,0± NA,0± NA,0± NA,0± NA
L.gul1,Post-Invasion,Pond,Dry,1,63.45± NA,7.76± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
L.gul1,Pre-Invasion,Pond,Dry,6,48.92± 10.53,4.87± 3.23,0.17± 0.41,0± 0,0± 0,0± 0,0.17± 0.41,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.08± 0.2,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.17± 0.41,0± 0,0± 0,0± 0,0± 0,0± 0,0.42± 0.49,0± 0,0± 0,0± 0,0± 0
L.gul1,Post-Invasion,Pond,Wet,1,68.78± NA,15.22± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0.33± NA,0± NA,0± NA,0± NA,0± NA
L.gul1,Pre-Invasion,Pond,Wet,18,58± 7.44,6.13± 2.42,0± 0,0± 0,0± 0,0± 0,0± 0,0.05± 0.12,0± 0,0± 0,0± 0,0± 0,0.01± 0.03,0.09± 0.26,0± 0,0.03± 0.14,0.07± 0.24,0.06± 0.14,0± 0,0± 0,0.01± 0.05,0.03± 0.12,0.09± 0.19,0± 0,0.08± 0.26,0± 0,0± 0,0.43± 0.36,0± 0,0± 0,0.05± 0.11,0± 0
L.gul2,Pre-Invasion,Marsh,Dry,3,76.33± 4.91,15.27± 2.6,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,1± 0,0± 0,0± 0,0± 0,0± 0
L.gul2,Post-Invasion,Pond,Dry,9,80.28± 7.14,18.81± 4.56,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.33,0.05± 0.15,0± 0,0± 0,0± 0,0± 0,0.6± 0.41,0.04± 0.11,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.17,0.06± 0.17,0± 0,0± 0,0± 0,0.04± 0.11,0± 0,0.05± 0.11,0± 0,0± 0,0± 0
L.gul2,Pre-Invasion,Pond,Dry,6,85.5± 6.03,28.51± 6.59,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.17± 0.41,0.25± 0.42,0± 0,0± 0,0.17± 0.41,0± 0,0± 0,0.42± 0.49,0± 0,0± 0,0± 0,0± 0
L.gul2,Post-Invasion,Pond,Wet,4,87.56± 7.99,28.65± 8.21,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.5,0± 0,0± 0,0.25± 0.5,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.05,0± 0,0± 0,0.03± 0.05,0± 0,0± 0,0.45± 0.53,0± 0,0± 0,0± 0,0± 0
L.gul2,Pre-Invasion,Pond,Wet,23,83.13± 8.12,19.44± 6.34,0.02± 0.07,0± 0,0± 0,0.09± 0.24,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.07,0.07± 0.22,0± 0,0.07± 0.23,0± 0,0.05± 0.21,0± 0,0± 0,0± 0,0± 0,0.04± 0.12,0.03± 0.14,0.1± 0.23,0± 0,0± 0,0.45± 0.39,0± 0,0.03± 0.08,0.04± 0.08,0± 0
L.gul3,Pre-Invasion,Marsh,Wet,3,114± 5,48.97± 4.61,0± 0,0± 0,0± 0,0.17± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.56± 0.1,0± 0,0.22± 0.25,0± 0,0± 0
L.gul3,Post-Invasion,Pond,Dry,9,104.71± 6.7,46.28± 14.82,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.09± 0.19,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.31± 0.43,0.37± 0.33,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.22,0.11± 0.33,0± 0,0± 0
L.gul3,Pre-Invasion,Pond,Dry,12,107.12± 7.85,50.36± 8.7,0± 0,0± 0,0± 0,0± 0,0± 0,0.15± 0.34,0± 0,0± 0,0± 0,0± 0,0.03± 0.1,0.08± 0.19,0± 0,0.04± 0.14,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.23± 0.39,0± 0,0± 0,0.43± 0.47,0± 0,0.04± 0.14,0± 0,0± 0
L.gul3,Post-Invasion,Pond,Wet,9,108.81± 5.36,57.45± 10.9,0± 0,0± 0,0± 0,0.11± 0.33,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.22± 0.44,0± 0,0± 0,0± 0,0.28± 0.44,0± 0,0± 0,0.04± 0.11,0± 0,0± 0,0.09± 0.19,0± 0,0.26± 0.35,0± 0,0± 0
L.gul3,Pre-Invasion,Pond,Wet,29,106.1± 6,42.99± 10.48,0± 0.02,0± 0,0± 0,0.11± 0.25,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.07± 0.22,0± 0,0± 0.02,0± 0,0± 0.02,0± 0,0± 0,0± 0,0.06± 0.21,0.03± 0.1,0± 0,0.13± 0.28,0± 0,0± 0,0.17± 0.26,0± 0,0.33± 0.47,0.09± 0.16,0± 0
L.gul4,Pre-Invasion,Marsh,Dry,2,123.75± 4.6,76.38± 9.03,0± 0,0± 0,0± 0,0.07± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.43± 0.61,0± 0,0.5± 0.71,0± 0,0± 0
L.gul4,Pre-Invasion,Marsh,Wet,1,149± NA,160± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA
L.gul4,Post-Invasion,Pond,Dry,4,125.46± 5.66,99.94± 35.65,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.21± 0.25,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.58,0± 0,0± 0,0.21± 0.25,0± 0,0± 0,0± 0,0.08± 0.17,0± 0,0± 0,0± 0
L.gul4,Pre-Invasion,Pond,Dry,16,136± 9.94,98.27± 28.01,0± 0,0± 0,0.03± 0.12,0.04± 0.17,0.03± 0.12,0.11± 0.27,0± 0,0± 0,0± 0,0.06± 0.25,0± 0,0.06± 0.14,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.31± 0.48,0± 0,0± 0,0.14± 0.29,0± 0,0± 0,0.21± 0.38,0± 0,0± 0,0± 0,0± 0
L.gul4,Post-Invasion,Pond,Wet,3,122.62± 2.57,85.93± 8.2,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.04,0.23± 0.4,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.04,0.33± 0.58,0± 0,0.11± 0.1,0± 0,0± 0,0.29± 0.44,0± 0,0± 0,0± 0,0± 0
